fg_phenotype	name	category	category_index	fg_n_cases	fg_n_controls	ukbb_phenotype	ukbb_n_cases	ukbb_n_controls	ukbb_phecode_type	ukbb_phecode	ukbb_phecode_sex	mvp_phenotype	MVP_AFR_n_cases	MVP_EUR_n_cases	MVP_AMR_n_cases	MVP_AFR_n_controls	MVP_EUR_n_controls	MVP_AMR_n_controls	path_bucket	path_https
M13_PAGET	Paget disease	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	164	473264	M13_PAGET	391	381531	custom	NA	NA	731.1	NA	504	NA	NA	457803	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PAGET_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PAGET_meta_out.tsv.gz
M13_PATELLADISLOCATIO	Recurrent dislocation of patella	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	2266	315115	phecode-742.2-both_sexes	100	413456	phecode	742.2	both_sexes	742.2	NA	1133	NA	NA	455419	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PATELLADISLOCATIO_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PATELLADISLOCATIO_meta_out.tsv.gz
M13_PSORIARTH	Psoriatic arthropathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	4290	315115	M13_PSORIARTH	1207	254939	custom	NA	NA	696.42	NA	3136	NA	NA	454569	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PSORIARTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_PSORIARTH_meta_out.tsv.gz
M13_RHEUMA	Rheumatoid arthritis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	16314	315115	phecode-714.1-both_sexes	5554	371238	phecode	714.1	both_sexes	714.1	2389	10625	993	117834	443051	49695	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_RHEUMA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_RHEUMA_meta_out.tsv.gz
M13_RHEUMATISM	Rheumatism, unspecified	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	6018	357549	phecode-729.1-both_sexes	1050	386932	phecode	729.1	both_sexes	729.1	NA	1765	NA	NA	455915	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_RHEUMATISM_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_RHEUMATISM_meta_out.tsv.gz
M13_SACROILIITIS	Sacroiliitis, not elsewhere classified	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	1976	353224	M13_SACROILIITIS	201	322986	custom	NA	NA	715.1	1378	4956	694	118979	448610	49779	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SACROILIITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SACROILIITIS_meta_out.tsv.gz
M13_SCIATICA	Sciatica+with lumbago	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	26541	353224	M13_SCIATICA	4892	322986	custom	NA	NA	764	7360	23927	3205	105608	408395	44727	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SCIATICA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SCIATICA_meta_out.tsv.gz
M13_SCOLIOSIS	Scoliosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	3654	353224	icd10-M41-both_sexes	590	419941	icd10	M41	both_sexes	737.3	841	3625	NA	119082	447946	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SCOLIOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SCOLIOSIS_meta_out.tsv.gz
M13_SJOGREN	Sicca syndrome [Sjögren]	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	3309	484260	M13_SJOGREN	991	412784	custom	NA	NA	709.2	NA	1099	NA	NA	455331	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SJOGREN_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SJOGREN_meta_out.tsv.gz
M13_SPINSTENOSIS	Spinal stenosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	26090	353224	M13_SPINSTENOSIS	8194	322986	custom	NA	NA	720	12698	44197	4328	102392	390501	44346	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPINSTENOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPINSTENOSIS_meta_out.tsv.gz
M13_SPONDYLOLISTHESIS	Spondylolisthesis/Spondylolysis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	8037	353224	M13_SPONDYLOLISTHESIS	3274	322986	custom	NA	NA	738.4	1242	5076	567	117972	444849	49600	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPONDYLOLISTHESIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPONDYLOLISTHESIS_meta_out.tsv.gz
M13_SPONDYLOSIS	Spondylosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	27369	353224	M13_SPONDYLOSIS	28325	322986	custom	NA	NA	721	19838	63283	6902	89084	351268	39444	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPONDYLOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_SPONDYLOSIS_meta_out.tsv.gz
N14_ACUTERENFAIL	Acute renal failure	XIV Diseases of the genitourinary system (N14_)	15	8383	480448	N14_ACUTERENFAIL	18477	384570	custom	NA	NA	585.1	16077	43017	4198	96524	388904	44434	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_ACUTERENFAIL_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_ACUTERENFAIL_meta_out.tsv.gz
N14_BENIGNMAMDYSP	Benign mammary dysplasia	XIV Diseases of the genitourinary system (N14_)	15	5681	258508	phecode-610.8-females	2023	219947	phecode	610.8	females	610.8	NA	596	NA	NA	456974	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_BENIGNMAMDYSP_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_BENIGNMAMDYSP_meta_out.tsv.gz
N14_CALCUKIDUR	Calculus of kidney and ureter	XIV Diseases of the genitourinary system (N14_)	15	12999	486185	N14_CALCUKIDUR	8071	408371	custom	NA	NA	594	5896	39955	3676	112073	400379	45725	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CALCUKIDUR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CALCUKIDUR_meta_out.tsv.gz
N14_CALCULOWER	Calculus of lower urinary tract	XIV Diseases of the genitourinary system (N14_)	15	1878	486185	phecode-594.2-both_sexes	944	411207	phecode	594.2	both_sexes	594.2	NA	3089	NA	NA	452427	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CALCULOWER_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CALCULOWER_meta_out.tsv.gz
N14_CHRONKIDNEYDIS	Chronic kidney disease	XIV Diseases of the genitourinary system (N14_)	15	12787	480448	icd10-N18-both_sexes	7417	413114	icd10	N18	both_sexes	585.3	21828	64595	5516	94266	374886	44129	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CHRONKIDNEYDIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CHRONKIDNEYDIS_meta_out.tsv.gz
N14_CYSTKID	Cyst of kidney	XIV Diseases of the genitourinary system (N14_)	15	2377	495511	phecode-586.2-both_sexes	1740	401927	phecode	586.2	both_sexes	586.2	3384	10409	816	114123	433104	49166	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CYSTKID_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_CYSTKID_meta_out.tsv.gz
N14_GLOMEINOTH	Glomerular disorders in diseases classified elsewhere	XIV Diseases of the genitourinary system (N14_)	15	4446	492922	phecode-580.31-both_sexes	430	401927	phecode	580.31	both_sexes	580.31	1042	2588	NA	119679	453076	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_GLOMEINOTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_GLOMEINOTH_meta_out.tsv.gz
N14_GLOMERULAR	Glomerular diseases	XIV Diseases of the genitourinary system (N14_)	15	7426	492922	phecode-580-both_sexes	1716	401927	phecode	580	both_sexes	580	2665	6198	928	116724	445699	49450	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_GLOMERULAR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_GLOMERULAR_meta_out.tsv.gz
N14_HYDRONEPHR	Hydronephrosis	XIV Diseases of the genitourinary system (N14_)	15	4509	447142	phecode-595-both_sexes	2577	411207	phecode	595	both_sexes	595	1551	7448	621	118800	443591	49801	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_HYDRONEPHR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_HYDRONEPHR_meta_out.tsv.gz
N14_HYPERTROPHYBREAST_BOTH	Hypertrophy of breast in women and men	XIV Diseases of the genitourinary system (N14_)	15	8461	475603	phecode-612.2-both_sexes	912	412667	phecode	612.2	both_sexes	612.2	2263	4693	NA	117804	449051	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_HYPERTROPHYBREAST_BOTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_HYPERTROPHYBREAST_BOTH_meta_out.tsv.gz
N14_LUMPNASBREAST	Unspecified lump in breast	XIV Diseases of the genitourinary system (N14_)	15	6394	258508	N14_LUMPNASBREAST	1884	220535	custom	NA	NA	611.3	3385	7826	731	115429	443122	49632	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_LUMPNASBREAST_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_LUMPNASBREAST_meta_out.tsv.gz
N14_NEUROMUSCDYSBLADD	Neuromuscular dysfunction of bladder	XIV Diseases of the genitourinary system (N14_)	15	3550	403328	phecode-596.5-both_sexes	1770	403310	phecode	596.5	both_sexes	596.5	4097	16111	1602	114567	431078	48460	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_NEUROMUSCDYSBLADD_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_NEUROMUSCDYSBLADD_meta_out.tsv.gz
N14_OBSTRUREFLUROPATH	Other obstructive and reflux uropathy	XIV Diseases of the genitourinary system (N14_)	15	1755	447142	phecode-599.1-both_sexes	3401	395845	phecode	599.1	both_sexes	599.1	740	2852	NA	119482	449042	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_OBSTRUREFLUROPATH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_OBSTRUREFLUROPATH_meta_out.tsv.gz
N14_RENFAIL	Renal failure	XIV Diseases of the genitourinary system (N14_)	15	19900	480448	N14_RENFAIL	30513	390029	custom	NA	NA	585	31004	90023	7970	81827	339190	40594	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_RENFAIL_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_RENFAIL_meta_out.tsv.gz
N14_RENFAILNAS	Unspecified kidney failure	XIV Diseases of the genitourinary system (N14_)	15	3743	480448	phecode-585.2-both_sexes	1676	401927	phecode	585.2	both_sexes	585.2	3366	6352	766	115549	444338	49665	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_RENFAILNAS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_RENFAILNAS_meta_out.tsv.gz
N14_URETHRITISANDURSYNDR	Urethritis and urethral syndrome	XIV Diseases of the genitourinary system (N14_)	15	815	403328	phecode-592.2-both_sexes	200	386584	phecode	592.2	both_sexes	592.2	866	578	NA	118613	455409	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_URETHRITISANDURSYNDR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/N14_URETHRITISANDURSYNDR_meta_out.tsv.gz
POLYCYTVERA	Polycythaemia vera	Other, not yet classified endpoints (same as #MISC)	28	1205	378022	POLYCYTVERA	635	323387	custom	NA	NA	200.1	NA	2136	NA	NA	454979	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/POLYCYTVERA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/POLYCYTVERA_meta_out.tsv.gz
Q17_CONGEN_MALFO_GENITAL_ORGANS	Congenital malformations of genital organs	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	18	3957	496391	phecode-751.1-both_sexes	803	417905	phecode	751.1	both_sexes	751.1	NA	1295	NA	NA	453251	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_CONGEN_MALFO_GENITAL_ORGANS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_CONGEN_MALFO_GENITAL_ORGANS_meta_out.tsv.gz
Q17_CYSTIC_KIDNEY_DISEA	Cystic kidney disease	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	18	1142	498180	phecode-751.21-both_sexes	505	417905	phecode	751.21	both_sexes	751.21	1775	5841	508	117686	445061	49997	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_CYSTIC_KIDNEY_DISEA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_CYSTIC_KIDNEY_DISEA_meta_out.tsv.gz
Q17_LVOTO_BROAD	Left ventricular outflow tract obstruction (LVOTO), broad definition	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	18	3879	496469	Q17_LVOTO_BROAD	782	419760	custom	NA	NA	395.2	2412	20353	1104	117002	425292	49239	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_LVOTO_BROAD_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_LVOTO_BROAD_meta_out.tsv.gz
Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1	Other congenital malformations of the digestive system	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	18	1657	498691	phecode-750-both_sexes	856	417905	phecode	750	both_sexes	750	NA	2133	NA	NA	449173	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_OTHER_CONGEN_MALFO_DIGES_SYSTEM1_meta_out.tsv.gz
Q17_OTHER_CONGEN_MALFO_SKIN	Other congenital malformations of skin	XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)	18	1515	496855	icd10-Q82-both_sexes	189	420342	icd10	Q82	both_sexes	757	NA	912	NA	NA	455844	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_OTHER_CONGEN_MALFO_SKIN_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Q17_OTHER_CONGEN_MALFO_SKIN_meta_out.tsv.gz
R18_RETEN_URINE	Retention of urine	XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)	19	15722	453777	phecode-599.2-both_sexes	9337	395845	phecode	599.2	both_sexes	599.2	5157	27150	2161	111664	407571	46926	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/R18_RETEN_URINE_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/R18_RETEN_URINE_meta_out.tsv.gz
SLEEP	Sleep disorders (combined)	Neurological endpoints	7	65076	430194	SLEEP	9713	408176	custom	NA	NA	327	36147	122403	15847	67681	277270	27772	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SLEEP_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SLEEP_meta_out.tsv.gz
SLE_FG	SLE (Finngen)	Rheuma endpoints	14	1306	372273	phecode-695.42-both_sexes	412	411160	phecode	695.42	both_sexes	695.42	738	1035	NA	120803	457011	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SLE_FG_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SLE_FG_meta_out.tsv.gz
SPONDYLOARTHRITIS	Spondyloarthritis	Comorbidities of Interstitial lung disease endpoints	30	8508	451874	phecode-715-both_sexes	2466	371238	phecode	715	both_sexes	715	1968	7742	1049	117386	442870	49099	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SPONDYLOARTHRITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/SPONDYLOARTHRITIS_meta_out.tsv.gz
ST19_FRACT_FEMUR	Fracture of femur	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	20	12229	476877	phecode-800.2-both_sexes	2977	395047	phecode	800.2	both_sexes	800.2	522	2759	NA	120895	454055	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/ST19_FRACT_FEMUR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/ST19_FRACT_FEMUR_meta_out.tsv.gz
ST19_FRACT_FOREA	Fracture of forearm	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	20	27907	462982	phecode-803.2-both_sexes	7441	395047	phecode	803.2	both_sexes	803.2	1374	7477	841	119728	448276	49992	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/ST19_FRACT_FOREA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/ST19_FRACT_FOREA_meta_out.tsv.gz
T1D	Type 1 diabetes, definitions combined	Diabetes endpoints	5	4721	403489	phecode-250.1-both_sexes	3250	396181	phecode	250.1	both_sexes	250.1	6437	17194	2017	109241	425446	46926	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/T1D_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/T1D_meta_out.tsv.gz
T2D	Type 2 diabetes, definitions combined	Diabetes endpoints	5	82878	403489	T2D	28668	386926	custom	NA	NA	250.2	51469	156343	19574	64357	283166	29653	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/T2D_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/T2D_meta_out.tsv.gz
TEMPOROMANDIB	Temporomandibular joint disorders	XI Diseases of the digestive system (K11_)	12	7966	262404	phecode-526.4-both_sexes	281	408157	phecode	526.4	both_sexes	526.4	1741	5218	909	116637	443293	48579	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/TEMPOROMANDIB_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/TEMPOROMANDIB_meta_out.tsv.gz
THYROIDITIS	Thyroiditis	Comorbidities of Gastrointestinal endpoints	30	2729	486722	phecode-245-both_sexes	351	399034	phecode	245	both_sexes	245	NA	1932	NA	NA	454873	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/THYROIDITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/THYROIDITIS_meta_out.tsv.gz
THYROTOXICOSIS	Thyrotoxicosis	Comorbidities of Gastrointestinal endpoints	30	11003	486722	phecode-242-both_sexes	2288	399034	phecode	242	both_sexes	242	2681	5614	633	117625	448363	50119	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/THYROTOXICOSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/THYROTOXICOSIS_meta_out.tsv.gz
TONGUEABNORMALITY	Tongue abnormality	XI Diseases of the digestive system (K11_)	12	2151	498197	phecode-529-both_sexes	1522	413830	phecode	529	both_sexes	529	NA	1729	NA	NA	452199	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/TONGUEABNORMALITY_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/TONGUEABNORMALITY_meta_out.tsv.gz
Z21_KIDNEY_TRANSPLANT_STATUS	Kidney transplant status	XXI Factors influencing health status and contact with health services (Z21_)	22	1840	493510	Z21_KIDNEY_TRANSPLANT_STATUS	536	419426	custom	NA	NA	587	888	1210	NA	120649	457004	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Z21_KIDNEY_TRANSPLANT_STATUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/Z21_KIDNEY_TRANSPLANT_STATUS_meta_out.tsv.gz
