fg_phenotype	name	category	category_index	fg_n_cases	fg_n_controls	ukbb_phenotype	ukbb_n_cases	ukbb_n_controls	ukbb_phecode_type	ukbb_phecode	ukbb_phecode_sex	mvp_phenotype	MVP_AFR_n_cases	MVP_EUR_n_cases	MVP_AMR_n_cases	MVP_AFR_n_controls	MVP_EUR_n_controls	MVP_AMR_n_controls	path_bucket	path_https
L12_HYPETROPHICSCAR	Hypertrophic scar	XII Diseases of the skin and subcutaneous tissue (L12_)	13	2068	465673	L12_HYPETROPHICSCAR	289	340811	custom	NA	NA	701.4	2366	2112	NA	117486	451944	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_HYPETROPHICSCAR_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_HYPETROPHICSCAR_meta_out.tsv.gz
L12_INFECT_DERM	Infective dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	13	4713	432874	NA	NA	NA	NA	NA	NA	690	4317	31655	2146	113453	400314	46954	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_INFECT_DERM_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_INFECT_DERM_meta_out.tsv.gz
L12_LUPUS	Lupus erythematosus	XII Diseases of the skin and subcutaneous tissue (L12_)	13	850	465673	phecode-695.41-both_sexes	170	411160	phecode	695.41	both_sexes	695.41	609	770	NA	120954	457485	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_LUPUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_LUPUS_meta_out.tsv.gz
L12_OTHPIGMENTATION	Other disorders of pigmentation	XII Diseases of the skin and subcutaneous tissue (L12_)	13	1535	465673	icd10-L81-both_sexes	954	419577	icd10	L81	both_sexes	694.2	3063	12996	1190	112845	419241	47670	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_OTHPIGMENTATION_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_OTHPIGMENTATION_meta_out.tsv.gz
L12_PILONIDALCYST	Pilonidal cyst	XII Diseases of the skin and subcutaneous tissue (L12_)	13	3784	470507	phecode-686.3-both_sexes	630	406937	phecode	686.3	both_sexes	686.3	NA	1455	NA	NA	455876	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PILONIDALCYST_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PILONIDALCYST_meta_out.tsv.gz
L12_PRURITUS	Pruritus	XII Diseases of the skin and subcutaneous tissue (L12_)	13	4387	432874	phecode-698-both_sexes	942	419589	phecode	698	both_sexes	698	4775	11728	1567	108735	423760	46846	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PRURITUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PRURITUS_meta_out.tsv.gz
L12_PSORIASIS	Psoriasis	XII Diseases of the skin and subcutaneous tissue (L12_)	13	12760	482181	L12_PSORIASIS	10476	409021	custom	NA	NA	696.4	1715	16528	1552	119024	435197	49008	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PSORIASIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PSORIASIS_meta_out.tsv.gz
L12_PYOGENGRANUL	Pyogenic granuloma	XII Diseases of the skin and subcutaneous tissue (L12_)	13	611	465673	L12_PYOGENGRANUL	429	340811	custom	NA	NA	686.4	NA	800	NA	NA	455436	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PYOGENGRANUL_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_PYOGENGRANUL_meta_out.tsv.gz
L12_SCARCONDITIONS	Scar conditions and fibrosis of skin	XII Diseases of the skin and subcutaneous tissue (L12_)	13	1495	465673	phecode-701.2-both_sexes	2741	413923	phecode	701.2	both_sexes	701.2	1234	6894	NA	117313	435284	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SCARCONDITIONS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SCARCONDITIONS_meta_out.tsv.gz
L12_SEBORRHOEIC	Seborrhoeic dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	13	3787	432874	L12_SEBORRHOEIC	8559	365275	custom	NA	NA	690.1	4263	31438	2133	113666	401159	47036	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SEBORRHOEIC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SEBORRHOEIC_meta_out.tsv.gz
L12_SEBORRKERAT	Seborrhoeic keratosis	XII Diseases of the skin and subcutaneous tissue (L12_)	13	9078	465673	L12_SEBORRKERAT	28016	340811	custom	NA	NA	702.2	3198	89834	3660	112780	309018	43216	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SEBORRKERAT_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_SEBORRKERAT_meta_out.tsv.gz
L12_URTICARIA	Urticaria	XII Diseases of the skin and subcutaneous tissue (L12_)	13	13990	482901	L12_URTICARIA	9086	410080	custom	NA	NA	947	2343	5395	1064	115622	442640	48473	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_URTICARIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_URTICARIA_meta_out.tsv.gz
L12_VITILIGO	Vitiligo	XII Diseases of the skin and subcutaneous tissue (L12_)	13	391	465673	L12_VITILIGO	808	341016	custom	NA	NA	694.1	644	1291	NA	120680	456543	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_VITILIGO_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/L12_VITILIGO_meta_out.tsv.gz
M13_ANKYLOSISJOINT	Ankylosis of joint	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	197	315115	phecode-741.1-both_sexes	109	413456	phecode	741.1	both_sexes	741.1	NA	583	NA	NA	456696	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_ANKYLOSISJOINT_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_ANKYLOSISJOINT_meta_out.tsv.gz
M13_ANKYLOSPON	Ankylosing spondylitis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	3838	353224	phecode-715.2-both_sexes	495	371238	phecode	715.2	both_sexes	715.2	NA	1665	NA	NA	456051	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_ANKYLOSPON_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_ANKYLOSPON_meta_out.tsv.gz
M13_CALCIFICTEND	Calcific tendinitis of shoulder	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	2319	357549	M13_CALCIFICTEND	512	285886	custom	NA	NA	726.2	1023	4373	765	118618	445559	49191	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CALCIFICTEND_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CALCIFICTEND_meta_out.tsv.gz
M13_CERVICALGIA	Cervicalgia	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	9398	353224	phecode-761-both_sexes	2264	418267	phecode	761	both_sexes	761	26227	85075	10455	81792	332076	35604	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CERVICALGIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CERVICALGIA_meta_out.tsv.gz
M13_CRYSTALARTH	Other crystal arthropathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	620	315115	phecode-274.2-both_sexes	533	415559	phecode	274.2	both_sexes	274.2	702	3117	NA	120106	451473	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CRYSTALARTH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_CRYSTALARTH_meta_out.tsv.gz
M13_DORSALGIA	Dorsalgia	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	83888	353224	phecode-760-both_sexes	17794	402737	phecode	760	both_sexes	760	70908	221759	28661	37662	187718	17114	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_DORSALGIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_DORSALGIA_meta_out.tsv.gz
M13_DUPUTRYEN	Palmar fascial fibromatosis [Dupuytren]	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	6766	357549	phecode-728.71-both_sexes	4234	386932	phecode	728.71	both_sexes	728.71	NA	7110	NA	NA	447288	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_DUPUTRYEN_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_DUPUTRYEN_meta_out.tsv.gz
M13_FATIGFRACT	Fatigue fracture of vertebra	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	163	353224	NA	NA	NA	NA	NA	NA	743.4	NA	1329	NA	NA	454403	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FATIGFRACT_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FATIGFRACT_meta_out.tsv.gz
M13_FIBROBLASTIC	Fibroblastic disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	10869	357549	phecode-728.7-both_sexes	4772	386932	phecode	728.7	both_sexes	728.7	10733	39091	5383	103745	394238	42491	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FIBROBLASTIC_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FIBROBLASTIC_meta_out.tsv.gz
M13_FINGERDEFORM	Deformity of finger(s)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	214	315115	phecode-736.2-both_sexes	290	403527	phecode	736.2	both_sexes	736.2	584	1643	NA	120450	454850	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FINGERDEFORM_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FINGERDEFORM_meta_out.tsv.gz
M13_FLATFOOT	Flat foot [pes planus] (acquired)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	3872	315115	phecode-735.1-both_sexes	255	403527	phecode	735.1	both_sexes	735.1	10630	14299	2010	103252	430895	47144	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FLATFOOT_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_FLATFOOT_meta_out.tsv.gz
M13_GANGLION	Ganglion	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	10146	357549	M13_GANGLION	3957	285886	custom	NA	NA	727.4	2729	8255	983	116125	440366	49204	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_GANGLION_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_GANGLION_meta_out.tsv.gz
M13_GOUT	Gout	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	12342	315115	phecode-274.1-both_sexes	4509	415559	phecode	274.1	both_sexes	274.1	14423	42535	3111	103544	404397	47062	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_GOUT_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_GOUT_meta_out.tsv.gz
M13_HALLUXRIGIDUS	Hallux rigidus	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	5903	315115	phecode-735.23-both_sexes	1796	403527	phecode	735.23	both_sexes	735.23	2778	7389	654	116809	445648	49911	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HALLUXRIGIDUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HALLUXRIGIDUS_meta_out.tsv.gz
M13_HALLUXVALGUS	Hallux valgus (acquired)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	19367	315115	phecode-735.3-both_sexes	7656	403527	phecode	735.3	both_sexes	735.3	9462	15354	1712	105798	429298	47970	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HALLUXVALGUS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HALLUXVALGUS_meta_out.tsv.gz
M13_HAMMERTOE	Other hammer toe(s) (acquired)	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	7456	315115	phecode-735.21-both_sexes	2321	403527	phecode	735.21	both_sexes	735.21	7337	20266	1426	109284	423853	48511	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HAMMERTOE_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_HAMMERTOE_meta_out.tsv.gz
M13_LIMBPAIN	Pain in limb	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	45476	357549	phecode-773-both_sexes	7621	412910	phecode	773	both_sexes	773	42904	125394	15615	55582	251694	26132	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_LIMBPAIN_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_LIMBPAIN_meta_out.tsv.gz
M13_MUSCLEATROPH	Muscle wasting and atrophy, not elsewhere classified	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	210	357549	phecode-772.1-both_sexes	138	419537	phecode	772.1	both_sexes	772.1	525	1472	NA	120393	454163	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_MUSCLEATROPH_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_MUSCLEATROPH_meta_out.tsv.gz
M13_MYALGIA	Myalgia	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	10632	357549	phecode-770-both_sexes	959	419572	phecode	770	both_sexes	770	8435	27271	3461	103811	404860	44399	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_MYALGIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_MYALGIA_meta_out.tsv.gz
M13_OSTEOMALACIA	Osteomalacia	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	309	473264	NA	NA	NA	NA	NA	NA	261.41	NA	514	NA	NA	457414	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEOMALACIA_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEOMALACIA_meta_out.tsv.gz
M13_OSTEOMYELITIS	Osteomyelitis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	2336	473264	M13_OSTEOMYELITIS	1757	381531	custom	NA	NA	710.1	2963	10249	1066	117615	444313	49712	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEOMYELITIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEOMYELITIS_meta_out.tsv.gz
M13_OSTEONECROSIS	Osteonecrosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	14	2043	473264	M13_OSTEONECROSIS	993	381531	custom	NA	NA	733.4	1376	2835	NA	119623	453709	NA	gs://finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEONECROSIS_meta_out.tsv.gz	https://storage.googleapis.com/finngen-public-data-r12/meta_analysis/mvp_ukbb/summary_stats/M13_OSTEONECROSIS_meta_out.tsv.gz
